question_id,difficulty,source_document_expected,hit_document@6,rank_first_correct,mrr,phrase_recall_in_chunks,retrieve_total_ms,index_mode,chunk_sources,error
Q080,easy,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,false,0,0.0,0.0,365.965,embedding,ManualTecnico_PrenatalPuerperio.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q081,medium,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,false,0,0.0,100.0,366.437,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,
Q082,hard,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,true,5,0.2,,371.087,embedding,ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q083,medium,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,false,0,0.0,100.0,368.392,embedding,ManualTecnico_PrenatalPuerperio.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q084,easy,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,true,1,1.0,100.0,366.727,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q085,easy,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,true,1,1.0,100.0,370.435,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q086,easy,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,false,0,0.0,0.0,373.422,embedding,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,
Q087,medium,CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,false,0,0.0,0.0,371.827,embedding,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q088,medium,CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,false,0,0.0,100.0,370.602,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,
Q089,easy,CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf,true,5,0.2,100.0,367.698,embedding,ManualGestacaoAltoRisco_2022.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernoDeAtencaoAoPreNatal_RiscoHabitual_.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q090,medium,ManualGestacaoAltoRisco_2022.pdf,true,1,1.0,0.0,369.231,embedding,ManualGestacaoAltoRisco_2022.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q091,easy,ManualGestacaoAltoRisco_2022.pdf,true,1,1.0,100.0,364.861,embedding,ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q092,medium,ManualGestacaoAltoRisco_2022.pdf,true,2,0.5,100.0,368.468,embedding,ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf,
Q093,hard,ManualGestacaoAltoRisco_2022.pdf,true,2,0.5,,367.292,embedding,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q094,easy,ManualTecnico_PrenatalPuerperio.pdf,true,1,1.0,0.0,365.754,embedding,ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q095,medium,ManualTecnico_PrenatalPuerperio.pdf,true,5,0.2,100.0,372.174,embedding,ManualGestacaoAltoRisco_2022.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf,
Q096,easy,ManualTecnico_PrenatalPuerperio.pdf,true,1,1.0,0.0,372.62,embedding,ManualTecnico_PrenatalPuerperio.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualGestacaoAltoRisco_2022.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf,
Q097,easy,ManualTecnico_PrenatalPuerperio.pdf,true,3,0.3333,100.0,364.94,embedding,GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualGestacaoAltoRisco_2022.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf,
Q098,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,2,0.5,100.0,365.028,embedding,GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf,
Q099,easy,GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf,true,5,0.2,0.0,379.734,embedding,GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;ManualGestacaoAltoRisco_2022.pdf;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023.pdf;ManualTecnico_PrenatalPuerperio.pdf,
Q100,easy,ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014.pdf,false,0,0.0,,373.689,embedding,CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;ManualTecnico_PrenatalPuerperio.pdf;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013.pdf,
